epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8995,1.80184,2.20979,1.29755,0.80095,0.35555,0.41031,0.20651,1.68777,3.07644,1.47848,0.00022,0.00022,0.00022
2,43.9505,1.65501,1.16893,1.25014,0.72181,0.49442,0.50048,0.25117,1.7855,1.66014,1.73645,0.000444431,0.000444431,0.000444431
3,52.0179,1.64313,1.11313,1.23033,0.81938,0.39832,0.4945,0.26509,1.77928,1.65916,1.69107,0.00066317,0.00066317,0.00066317
4,60.8312,1.61898,1.05116,1.24379,0.69967,0.36944,0.36829,0.1922,1.96183,1.71239,1.91903,0.000876216,0.000876216,0.000876216
5,69.645,1.6863,1.05756,1.25587,0.78018,0.36971,0.4024,0.21288,1.80202,1.98542,1.73502,0.0009505,0.0009505,0.0009505
6,77.5942,1.61997,1.00459,1.24122,0.4579,0.43202,0.44706,0.2461,1.80189,1.63376,1.75789,0.000938125,0.000938125,0.000938125
7,86.1927,1.5882,1.02172,1.25078,0.86381,0.38878,0.45871,0.24956,1.77013,1.35314,1.69888,0.00092575,0.00092575,0.00092575
8,94.9791,1.57973,0.96143,1.21758,0.67472,0.38833,0.43904,0.24159,1.87378,1.55575,1.75334,0.000913375,0.000913375,0.000913375
9,103.043,1.57682,0.97356,1.22691,0.65951,0.40353,0.46903,0.24997,1.78735,1.49685,1.66239,0.000901,0.000901,0.000901
10,111.57,1.55825,0.96389,1.23333,0.58442,0.47413,0.4695,0.26806,1.81136,1.37246,1.73682,0.000888625,0.000888625,0.000888625
11,120.472,1.52103,0.92055,1.21731,0.68402,0.4253,0.47262,0.27107,1.78461,1.46812,1.65813,0.00087625,0.00087625,0.00087625
12,128.757,1.55248,0.93549,1.23413,0.70422,0.42562,0.49301,0.27921,1.63068,1.27331,1.50984,0.000863875,0.000863875,0.000863875
13,137.469,1.52027,0.87952,1.19851,0.73311,0.41748,0.4855,0.26377,1.79171,1.40074,1.68923,0.0008515,0.0008515,0.0008515
14,146.229,1.52454,0.88941,1.22723,0.84378,0.43065,0.48095,0.26989,1.83701,1.40957,1.72954,0.000839125,0.000839125,0.000839125
15,154.078,1.53217,0.90642,1.20766,0.58969,0.56834,0.58164,0.3272,1.7291,1.44442,1.57484,0.00082675,0.00082675,0.00082675
16,162.849,1.4919,0.86258,1.18872,0.55632,0.55983,0.607,0.33792,1.73454,1.52982,1.65419,0.000814375,0.000814375,0.000814375
